所在页面,字号类别,KW,CN（中文）,EN（英文）,FR（法）,DE（德）,ES（西班牙）,IT（意大利）,PT（葡萄牙）,KO（韩）,JP（日）,RU（俄罗斯）,PL（波兰）,TC（繁）,DA（丹麦）,CZ(捷克),瑞典,挪威,荷兰
赛段设置,,KW_SETTING_RACE_STAGE_SETTING,赛段设置,Segment Settings,Paramètres de segment,Segmenteinstellungen,Configuración de segmento,Impostazioni segmenti,Definições de Segmento,세그먼트 설정,セグメント設定,Настройки сегмента,Ustawienia segmentów,賽段設置,Segmentindstillinger,Nastavení segmentů,Segmentinställningar,Segmentinnstillinger,Segmentinstellingen
赛段设置,,KW_SETTING_RACE_STAGE_REMINDER,赛段提醒,Segment Notification,Notification de segment,Segmentbenachrichtigung,Notificación de segmento,Notifica segmento,Notificação de Segmento,세그먼트 알림,セグメント通知,Уведомление о сегменте,Powiadomienia segmentów,賽段提醒,Segmentnotifikation,Oznámení segmentu,Segmentavisering,Segmentvarsler,Segmentmelding
赛段设置,,KW_SETTING_RACE_STAGE_GOAL,挑战目标,Challenge Goal,Objectif défi,Herausforderungsziel,Objetivo del desafío,Obiettivo sfida,Objetivo do Desafio,도전 목표,チャレンジ目標,Цель испытания,Cel wyzwania,挑戰目標,Udfordringsmål,Cíl výzvy,Utmaningsmål,Mål for utfordring,Uitdagingsdoel
赛段设置,,KW_SETTING_RACE_STAGE_STATEMENT_NOTICE,开启赛段提醒并同步赛段到码表，骑行中接近赛段起点或赛段开始时可以收到提醒。,Enable segment notification and sync segments to the bike computer. You will receive notifications as you approach the start of a segment or when the segment starts.,Activez la notification de segment et synchronisez les segments avec le compteur de vélo. Vous recevrez des notifications à l'approche du début d'un segment ou lorsque le segment commence.,"Aktivieren Sie Segmentbenachrichtigungen und synchronisieren Sie Segmente mit dem Fahrradcomputer. Sie erhalten Benachrichtigungen, wenn Sie sich dem Start eines Segments nähern oder das Segment beginnt.",Active la notificación de segmento y sincroniza los segmentos con el ciclocomputador. Recibirás notificaciones cuando te acerques al comienzo de un segmento o cuando el segmento comience.,Attiva la notifica segmento e sincronizza i segmenti sul ciclocomputer. Riceverai notifiche quando ti avvicini all'inizio di un segmento o quando il segmento inizia.,Ative a notificação de segmento e sincronize os segmentos com o ciclocomputador. Irá receber notificações ao aproximar-se do início de um segmento ou quando o segmento começar.,세그먼트 알림을 활성화하고 구간을 사이클링 컴퓨터로 동기화합니다. 세그먼트 시작 지점에 접근하거나 세그먼트가 시작되면 알림을 받을 수 있습니다.,セグメント通知を有効にしてセグメントをサイクルコンピューターに同期します。セグメント開始地点に近づいたとき、またはセグメント開始時に通知を受け取ります。,Включите уведомления о сегментах и синхронизируйте их с велокомпьютером. Во время поездки вы будете получать оповещения при приближении к началу сегмента и в момент его старта,Włącz powiadomienia segmentów i zsynchronizuj segmenty z licznikiem. Otrzymasz powiadomienia przy zbliżaniu się do startu segmentu lub gdy segment się rozpocznie.,開啟賽段提醒並同步賽段到碼表，騎乘中接近賽段起點或賽段開始時可以收到提醒。,"Aktivér segmentnotifikation og synkronisér segmenter til cykelcomputeren. Du får notifikationer, når du nærmer dig segmentstart, eller når segmentet starter.",Zapněte oznámení segmentů a synchronizujte segmenty do tachometru. Obdržíte oznámení při přiblížení ke startu segmentu nebo při začátku segmentu.,Aktivera segmentavisering och synkronisera segment till cykeldatorn. Du får aviseringar når du närmar dig början av ett segment eller når segmentet startar.,Aktiver segmentvarsler og synkroniser segmenter til sykkelcomputeren for å motta varsler.,Schakel segmentmeldingen in en synchroniseer segmenten naar de fietscomputer. Je ontvangt meldingen wanneer je de start van een segment nadert of wanneer het segment begint.
赛段说明页,,KW_SETTING_RACE_STAGE_STATEMENT_ATTENTION,注意：来源于Strava的赛段，为确保运动员之间数据计算的一致性，在计算赛段完成时间时，码表端显示的为初步时间，最终时间将以上传至Strava后计算的结果为准。,"Note:  To ensure consistency in data calculation among athletes, Strava segments displayed time on the bike computer is a preliminary time. The final time will be based on the results calculated after uploading to Strava.","Remarque : Pour garantir la cohérence des calculs de données entre les athlètes, le temps des segments Strava affiché sur le compteur de vélo est un temps préliminaire. Le temps final sera basé sur les résultats calculés après téléchargement sur Strava.","Hinweis: Um die Konsistenz der Datenberechnung zwischen Sportlern sicherzustellen, ist die auf dem Fahrradcomputer angezeigte Zeit für Strava-Segmente eine vorläufige Zeit. Die endgültige Zeit basiert auf den Ergebnissen, die nach dem Hochladen zu Strava berechnet werden.","Nota: Para garantizar la consistencia en el cálculo de datos entre atletas, el tiempo mostrado de los segmentos de Strava en el ciclocomputador es un tiempo preliminar. El tiempo final se basará en los resultados calculados después de subir a Strava.","Nota: per garantire coerenza nel calcolo dei dati tra gli atleti, il tempo dei segmenti Strava mostrato sul ciclocomputer è preliminare. Il tempo finale sarà basato sui risultati calcolati dopo l'upload su Strava.","Nota: Para garantir consistência no cálculo de dados entre atletas, o tempo de segmentos Strava apresentado no ciclocomputador é um tempo preliminar. O tempo final será baseado nos resultados calculados após o carregamento para o Strava.","참고: 모든 사용자의 데이터 계산 기준을 일관되게 유지하기 위해, 사이클링 컴퓨터에 표시되는 Strava 세그먼트 시간은 예비 기록입니다. 최종 기록은 활동을 Strava에 업로드한 후 Strava에서 계산된 결과를 기준으로 합니다.",注：選手間でのデータ計算の一貫性を確保するため、サイクルコンピューターに表示されるStravaセグメントのタイムは暫定値です。最終タイムはStravaへアップロード後に計算された結果に基づきます。,"Внимание: для сегментов Strava время, отображаемое на велокомпьютере, является предварительным. Окончательный результат будет рассчитан после загрузки поездки в Strava","Uwaga: aby zapewnić spójność obliczeń między sportowcami, czas segmentów Strava wyświetlany na liczniku jest wstępny. Ostateczny czas będzie oparty na wynikach obliczonych po przesłaniu do Strava.",注意：來源於Strava的賽段，爲確保運動員之間數據計算的一致性，在計算賽段完成時間時，碼表端顯示的爲初步時間，最終時間將以上傳至Strava後計算的結果為準。,Bemærk: For at sikre ensartet databeregning mellem atleter er den viste tid for Strava-segmenter på cykelcomputeren foreløbig. Den endelige tid baseres på resultaterne efter upload til Strava.,"Poznámka: Aby byla zajištěna konzistence výpočtů mezi sportovci, čas segmentů Strava zobrazený na tachometru je předběžný. Konečný čas bude vycházet z výsledků vypočtených po nahrání do Strava.",Obs! För att säkerställa konsekvent databeräkning mellan idrottare är tiden som visas for Strava-segment på cykeldatorn en preliminär tid. Den slutliga tiden baseras på resultaten som beräknas efter uppladdning till Strava.,"Merk: For å sikre samsvar i databeregning mellom utøvere, bruker Strava egne algoritmer.","Opmerking: Om consistente gegevensberekening tussen sporters te garanderen, is de tijd voor Strava-segmenten die op de fietscomputer wordt weergegeven een voorlopige tijd. De definitieve tijd is gebaseerd op de resultaten die na uploaden naar Strava worden berekend."
赛段设置、表盘页,,KW_SETTING_RACE_STAGE_GOAL_USER_BEST,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR
赛段设置,,KW_SETTING_RACE_STAGE_GOAL_HUMAN_BEST,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM
赛段设置,,KW_SETTING_RACE_STAGE_GOAL_OPTION_USER_BEST,个人最佳 PR,PR,PR,PR,PR,PR,PR,PR,PR,Личный рекорд (PR),PR,PR,PR,PR,PR,PR,PR
赛段设置,,KW_SETTING_RACE_STAGE_GOAL_OPTION_HUMAN_BEST,爬坡王/女王 KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM,KOM/QOM
设置列表页、电源管理设置页、负一屏、56系列,,KW_SETTING_POWER_MANAGE,电源管理,Power Management,Gestion de l'alimentation,Energieverwaltung,Gestión de energía,Gestione alimentazione,Gestão de Energia,전원 관리,電源管理,Управление питанием,Zarządzanie energią,電源管理,Strømstyring,Správa napájení,Strömhantering,Strømsparing,Energiebeheer
电源管理说明页,,KW_SETTING_POWER_MANAGE_README,您可以在电源管理完成某些设置以延长电池续航。,You can complete certain settings in Power Management to extend battery life.,Vous pouvez effectuer certains réglages dans la gestion de l'alimentation pour prolonger la durée de vie de la batterie.,"Sie können bestimmte Einstellungen in der Energieverwaltung vornehmen, um die Akkulaufzeit zu verlängern.",Puede realizar ciertas configuraciones en la Administración de energía para prolongar la duración de la batería.,Puoi completare alcune impostazioni in Gestione alimentazione per estendere l'autonomia.,Pode ajustar certas definições na Gestão de Energia para prolongar a autonomia.,배터리 사용 시간을 늘리려면 전원 관리에서 관련 설정을 구성할 수 있습니다.,電源管理で一部設定を行うことで、バッテリー寿命を延ばせます。,"В разделе «Управление питанием» можно изменить настройки, чтобы увеличить время работы от батареи",Niektóre ustawienia w Zarządzaniu energią pozwalają wydłużyć czas pracy baterii.,您可以在電源管理完成某些設定以延長電池續航力。,Du kan foretage indstillinger i Strømstyring for at forlænge batteritiden.,V části Správa napájení můžete nastavit některé možnosti pro prodloužení výdrže baterie.,Du kan göra vissa inställningar i Strömhantering for att förlänga batteritiden.,Du kan justere innstillingene under Strømstyring for å forlenge batteritiden.,Je kunt bepaalde instellingen in Energiebeheer voltooien om de batterijduur te verlengen.
电源管理设置页,,KW_SETTING_AUTO_POWER_OFF,自动关机,Auto Power Off,Arrêt automatique,Automatisches Ausschalten,Apagado automático,Spegnimento automatico,Desligamento Automático,자동 전원 꺼짐,自動電源オフ,Автовыключение,Auto wyłączenie,自動關機,Auto-sluk,Automatické vypnutí,Automatisk avstängning,Auto-avslåing,Automatisch uitschakelen
电源管理设置页,,KW_SETTING_AUTO_SCREEN_OFF,自动熄屏,Auto Screen Off,Arrêt automatique de l'écran,Automatisches Abschalten des Bildschirms,Apagado automático de pantalla,Spegnimento automatico schermo,Desligar Tela Automaticamente,자동 화면 꺼짐,自動画面オフ,Автоотключение экрана,Auto wygaszanie ekranu,自動關閉螢幕,Auto-skærm sluk,Automatické vypnutí displeje,Automatisk skärmavstängning,Auto-skjerm av,Scherm automatisch uit
电源管理设置页,,KW_SETTING_AUTO_POWER_OFF_TIME,关机时间,Power Off Time,Temps d'arrêt automatique,Ausschaltzeit,Hora de apagado,Tempo di Spegnimento,Tempo para Desligar,전원 꺼짐 시간,電源オフ時間,Время до выключения,Czas wyłączenia,關機時間,Sluktid,Čas vypnutí,Tid for avstängning,Tid før avslåing,Uitschakeltijd
电源管理说明页,,KW_SETTING_AUTO_SCREEN_OFF_STATEMENT,自动熄屏\n开启自动熄屏并设置熄屏时间，在非记录状态或骑行记录暂停时，未按键或触屏操作码表，达到设定的时间码表会自动熄屏；关闭此项设置，可以手动操作码表熄屏。熄屏状态下，按任意按键唤醒。\n说明：码表空闲是指非记录状态未按键或触屏操作码表。,"Automatic Screen Off\n Enable automatic screen off and set screen-off time. In non-recording or paused cycling states, if the Bike Computer is not operated by key or touchscreen within the set time, it will automatically turn off. Disable this setting to manually turn off the Bike Computer. Wake up with any key in screen-off state.\n Instruction: Bike Computer idle refers to the Bike Computer not being operated by key or touchscreen in non-recording state.","Arrêt automatique de l'écran\n Activez l'arrêt automatique de l'écran et définissez l'heure d'arrêt de l'écran. Dans les états de cyclisme non enregistrés ou en pause, si le compteur de vélo n'est pas utilisé par une touche ou un écran tactile dans le temps défini, il s'éteindra automatiquement. Désactivez ce paramètre pour éteindre manuellement le compteur de vélo. Réveillez-le avec n'importe quelle touche en état d'arrêt d'écran.\n Instruction : Le compteur de vélo inactif fait référence à un compte...","Automatisches Abschalten des Bildschirms\nAktivieren Sie das automatische Abschalten des Bildschirms und legen Sie die Zeit fest. Wenn der Fahrradcomputer im nicht aufzeichnenden oder pausierten Fahrzustand innerhalb der festgelegten Zeit nicht per Taste oder Touchscreen bedient wird, schaltet sich der Bildschirm automatisch aus. Wenn diese Einstellung deaktiviert ist, kann der Fahrradcomputer manuell ausgeschaltet werden. Im ausgeschalteten Bildschirmzustand kann er mit einer beliebigen Taste aufgeweckt werden.\nHinweis: Leerlauf des Fahrradcomputers bedeutet, dass der Fahrradcomputer im nicht aufzeichnenden Zustand nicht per Taste oder Touchscreen bedient wird.","Apagado automático de pantalla\nHabilitar apagado automático de pantalla y establecer tiempo de apagado. En estados de ciclismo no grabado o en pausa, si el ciclocomputador no se opera con una tecla o pantalla táctil dentro del tiempo establecido, se apagará automáticamente. Desactive esta configuración para apagar manualmente el ciclocomputador. Despertar con cualquier tecla en estado de pantalla apagada.\nInstrucción: Un ordenador de bicicleta en estado de inactividad se refiere a que el ordenador de bicicleta no está siendo operado por tecla o pantalla táctil en un estado de no grabación.","Spegnimento automatico schermo\n Abilita lo spegnimento automatico dello schermo e imposta il tempo. In stato non in registrazione o in pausa, se il ciclocomputer non viene utilizzato tramite tasti o touchscreen entro il tempo impostato, si spegnerà automaticamente. Disattiva questa impostazione per spegnere manualmente. A schermo spento, premi un tasto qualsiasi per riattivare.\n Istruzione: per ciclocomputer inattivo si intende che non viene utilizzato tramite tasti o touchscreen in stato non in registrazione.","Desligar Tela Automaticamente\n Ative o desligamento automático da tela e defina o tempo. Em estados de ciclismo sem gravação ou em pausa, se o ciclocomputador não for operado por botão ou tela tátil dentro do tempo definido, ele irá desligar automaticamente. Desative esta definição para desligar manualmente o ciclocomputador. Acorde com qualquer tecla quando a tela estiver desligada.\n Instrução: Ciclocomputador inativo refere-se a não haver operação por botão ou tela tátil no estado sem gravação.","자동 화면 꺼짐\n 자동 화면 꺼짐을 활성화하고 화면 꺼짐 시간을 설정합니다. 기록 중이 아니거나 라이딩이 일시 정지된 상태에서 설정한 시간 동안 버튼이나 터치스크린 조작이 없으면 사이클링 컴퓨터가 자동으로 화면을 끕니다. 이 기능을 비활성화하면 사이클링 컴퓨터를 수동으로만 끌 수 있습니다. 화면이 꺼진 상태에서는 아무 버튼이나 눌러 화면을 켤 수 있습니다. 안내: 사이클링 컴퓨터 유휴 상태란, 기록 중이 아닌 상태에서 버튼이나 터치스크린 조작이 없는 상태를 의미합니다.",自動画面オフ\n 自動画面オフを有効にして、画面オフ時間を設定します。記録していない状態またはサイクリングを一時停止した状態で、設定時間内にボタン操作やタッチ操作がない場合、サイクルコンピューターは自動的に電源オフになります。この設定を無効にすると、サイクルコンピューターは手動で電源を切る必要があります。画面オフ状態では任意のキーで復帰します。\n 説明：サイクルコンピューターのアイドル状態とは、記録していない状態でボタンまたはタッチ操作が行われていない状態を指します。,"Автоотключение экрана\nВключите автоотключение экрана и задайте время. Если запись не ведётся или поставлена на паузу и в течение заданного интервала нет нажатий кнопок или касаний экрана, экран автоматически погаснет. При отключённой опции экран можно погасить вручную. Для включения нажмите любую кнопку.\nПримечание: состояние простоя — это когда запись не ведётся и устройство не используется (нет нажатий кнопок и касаний экрана).","Automatyczne wygaszanie ekranu\n Włącz automatyczne wygaszanie i ustaw czas. W stanach bez nagrywania lub w pauzie, jeśli licznik nie jest obsługiwany klawiszem ani dotykiem w ustawionym czasie, ekran wyłączy się automatycznie. Wyłącz to ustawienie, aby wyłączać ręcznie. Przy wygaszonym ekranie wybudź dowolnym klawiszem.\n Instrukcja: bezczynność licznika oznacza brak obsługi klawiszem lub dotykiem w stanie bez nagrywania.",自動關閉螢幕\n開啟自動關閉螢幕並設定熄滅時間，在非記錄狀態或騎乘記錄暫停時，未按鍵或觸控螢幕操作碼表，達到設定的時間碼表會自動熄滅；關閉此項 設置，可手動操作碼表熄滅螢幕。 關閉螢幕狀態下，按任意按鍵喚醒。 \n說明：碼錶空閒是指非記錄狀態未按鍵或觸控螢幕操作碼表；,"Automatisk skærm sluk\n Aktivér automatisk skærm sluk og angiv tiden. I ikke-optagende eller pauset tilstand slukker cykelcomputeren automatisk, hvis den ikke betjenes via knapper eller touchskærm inden for den angivne tid. Deaktiver denne indstilling for at slukke manuelt. Når skærmen er slukket, kan du vække den med en vilkårlig tast.\n Instruktion: Inaktiv betyder, at cykelcomputeren ikke betjenes via knapper eller touchskærm i ikke-optagende tilstand.","Automatické vypnutí displeje\n Zapněte automatické vypnutí displeje a nastavte čas. V režimu bez záznamu nebo při pauze se tachometr automaticky vypne, pokud v nastaveném čase neproběhne ovládání tlačítky nebo dotykem. Vypněte tuto možnost pro ruční vypnutí. Ve stavu vypnutého displeje probuďte libovolným tlačítkem.\n Instrukce: Nečinný tachometr znamená, že není ovládán tlačítky ani dotykem v režimu bez záznamu.",Automatisk skärmavstängning\n Aktivera automatisk skärmavstängning och ställ in tiden for skärmavstängning. I lägen utan inspelning eller med pausad cykling stängs cykeldatorn av automatiskt om den inte används med knapp eller pekskärm inom den inställda tiden. Inaktivera den här inställningen for att stänga av cykeldatorn manuellt. Väck med valfri knapp når skärmen är av.\n Anvisning: Cykeldator inaktiv innebär at cykeldatorn inte används med knapp eller pekskärm i läge utan inspelning.,Auto-skjerm av:\nSlår av skjermen automatisk etter en viss tid uten aktivitet for å spare strøm.,"Scherm automatisch uit\n Schakel automatisch scherm uit in en stel de tijd in waarna het scherm wordt uitgeschakeld. Wanneer er niet wordt opgenomen of wanneer de rit is gepauzeerd, wordt de fietscomputer automatisch uitgeschakeld als deze binnen de ingestelde tijd niet via knoppen of touchscreen wordt bediend. Schakel deze instelling uit om de fietscomputer handmatig uit te schakelen. Druk in de scherm-uitstand op een willekeurige knop om te wekken.\n Instructie: Fietscomputer inactief betekent dat de fietscomputer in de niet-opnamestand niet via knoppen of touchscreen wordt bediend."
电源管理说明页,,KW_SETTING_LONG_POWER_STATEMENT,长续航\n长续航模式下码表将熄屏以延长续航时间；开启长续航模式 15 秒后，码表会熄屏；熄屏时可以按任意按键点亮屏幕 15s。长续航模式下，码表正常记录骑行数据。\n注意：长续航模式下，码表将不再提示消息通知、智联提醒等信息，雷达车辆预警仅做声音提示。,"Long Battery\nBike Computer will turn off the screen to extend battery life in Long Battery mode; After activating Long Battery mode for 15 seconds, Bike Computer will turn off the screen; Any key can be pressed to light up the screen for 15 seconds when the screen is off. In Long Battery mode, Bike Computer records cycling data normally.\n Note: In Long Battery mode, Bike Computer will no longer provide message notifications, smart link reminders, etc. Radar vehicle warnings will only be in the form of sound alerts.","Longue batterie\nLe compteur de vélo éteindra l'écran pour prolonger la durée de vie de la batterie en mode batterie longue durée ; après l'activation du mode batterie longue durée pendant 15 secondes, le compteur de vélo éteindra l'écran ; Toute touche peut être pressée pour allumer l'écran pendant 15 secondes lorsqu'il est éteint. En mode batterie longue durée, le compteur de vélo enregistre normalement les données de cyclisme.\n Remarque : En mode batterie longue durée, le compteur de vélo ne fourn...","Lange Akkulaufzeit\nIm Modus für lange Akkulaufzeit schaltet der Fahrradcomputer den Bildschirm aus, um die Akkulaufzeit zu verlängern; 15 Sekunden nach Aktivierung dieses Modus schaltet sich der Bildschirm aus; wenn der Bildschirm aus ist, kann mit einer beliebigen Taste der Bildschirm für 15 Sekunden eingeschaltet werden. Im Modus für lange Akkulaufzeit zeichnet der Fahrradcomputer die Fahrdaten normal auf.\n Hinweis: In diesem Modus zeigt der Fahrradcomputer keine Nachrichtenbenachrichtigungen, Smart-Link-Erinnerungen usw. mehr an. Radar-Fahrzeugwarnungen erfolgen nur noch als akustische Warnungen.","Ahorro de Batería\nEl ciclocomputador apagará la pantalla para extender la duración de la batería en el modo de Ahorro de Batería; después de activar el modo de Ahorro de Batería durante 15 segundos, el ciclocomputador apagará la pantalla; se puede presionar cualquier tecla para iluminar la pantalla durante 15 segundos cuando la pantalla está apagada. En el modo Ahorro de Batería, el ciclocomputador registra los datos de ciclismo normalmente.\nNota: En el modo Ahorro de Batería, el ciclocomputador ya no proporcionará notificaciones de mensajes, recordatorios de enlace inteligente, etc. Las advertencias de radar de vehículos solo estarán en forma de alertas sonoras.","Lunga autonomia\n In modalità lunga autonomia, il ciclocomputer spegne lo schermo per estendere l'autonomia; 15 secondi dopo l'attivazione della modalità lunga autonomia, lo schermo si spegne; a schermo spento, premi un tasto qualsiasi per accendere lo schermo per 15 secondi. In modalità lunga autonomia, il ciclocomputer registra normalmente i dati di ciclismo.\n Nota: in modalità lunga autonomia, il ciclocomputer non mostrerà più notifiche messaggi, promemoria smart link, ecc. Gli avvisi radar veicoli saranno solo sotto forma di avvisi sonori.","Longa Autonomia\nNo modo Longa Autonomia, o ciclocomputador desligará o ecrã para prolongar a autonomia; 15 segundos após ativar o modo Longa Autonomia, o ecrã será desligado; com o ecrã desligado, pode premir qualquer tecla para acender o ecrã por 15 segundos. No modo Longa Autonomia, o ciclocomputador regista os dados de ciclismo normalmente.\n Nota: No modo Longa Autonomia, o ciclocomputador deixará de fornecer notificações de mensagens, lembretes de ligação inteligente, etc. Os avisos de veículos do radar serão apenas sob a forma de alertas sonoros.","절전 모드\n 절전 모드에서는 배터리 사용 시간을 늘리기 위해 화면을 끕니다. 절전 모드를 활성화한 후 15초가 지나면 사이클링 컴퓨터의 화면이 꺼집니다. 화면이 꺼진 상태에서는 아무 버튼이나 눌러 15초 동안 화면을 켤 수 있습니다. 절전 모드에서도 사이클링 컴퓨터는 라이딩 데이터를 정상적으로 기록합니다. 참고: 절전 모드에서는 메시지 알림, 스마트 연결 알림 등이 제공되지 않습니다. 레이더 차량 경고는 소리 알림으로만 제공됩니다.",長時間バッテリー\n 長時間バッテリーモードでは、サイクルコンピューターはバッテリー寿命を延ばすために画面をオフにします。長時間バッテリーモードを有効にして15秒後に画面がオフになります。画面オフ中は任意のキーを押すと15秒間点灯します。長時間バッテリーモードでも、サイクルコンピューターは通常どおり走行データを記録します。\n 注：長時間バッテリーモードでは、メッセージ通知、スマート接続リマインダーなどは表示されません。レーダー車両警告は音声アラートのみとなります。,Режим энергосбережения\nВ режиме энергосбережения экран отключается для увеличения времени работы. Через 15 с после включения режима экран погаснет. При нажатии любой кнопки он включится на 15 с.При этом велокомпьютер продолжает нормально записывать данные поездки.\nВнимание: в режиме энергосбережения сообщения и уведомления смарт-подключений не отображаются. Предупреждения радара о транспортных средствах подаются только звуком.,"Długa bateria\n W trybie Długa bateria licznik wyłączy ekran, aby wydłużyć czas pracy; 15 s po aktywacji ekran się wyłączy; przy wygaszonym ekranie dowolny klawisz włączy ekran na 15 s. W trybie Długa bateria licznik normalnie zapisuje dane jazdy.\n Uwaga: w trybie Długa bateria licznik nie będzie już wyświetlać powiadomień wiadomości, przypomnień smart link itp. Ostrzeżenia radarowe będą tylko dźwiękowe.",長續航\n長續航模式下碼表將自動關閉螢幕以延長續航時間；開啟長續航模式 15 秒後，碼表會關閉螢幕；關閉螢幕時可按任意按鍵點亮螢幕 15s。 長續航模式下，碼表正常記錄騎乘數據。 \n注意：長續航模式下，碼表將不再提示訊息通知、智聯提醒等訊息，雷達車輛預警僅做聲音提示。,"Lang batteritid\n I Lang batteritid slukker cykelcomputeren skærmen for at forlænge batteritiden; 15 sekunder efter aktivering slukkes skærmen; når skærmen er slukket, kan du trykke på en vilkårlig tast for at tænde skærmen i 15 sekunder. I Lang batteritid optager cykelcomputeren turdata normalt.\n Bemærk: I Lang batteritid vises ingen beskednotifikationer, smart-link-påmindelser osv. Radaradvarsler udsendes kun som lydalarmer.","Dlouhá výdrž\n V režimu dlouhé výdrže tachometr vypne displej pro prodloužení výdrže; 15 sekund po aktivaci se displej vypne; při vypnutém displeji lze libovolným tlačítkem rozsvítit displej na 15 sekund. V režimu dlouhé výdrže tachometr běžně zaznamenává data jízdy.\n Poznámka: V režimu dlouhé výdrže se již nezobrazují oznámení zpráv, připomínky apod. Upozornění radaru budou pouze zvuková.","Lång batteritid\nCykeldatorn stänger av skärmen for att förlänga batteritiden i läget Lång batteritid. 15 sekunder efter at läget Lång batteritid har aktiverats stänger cykeldatorn av skärmen. När skärmen är av kan valfri knapp tryckas in for at tända skärmen i 15 sekunder. I läget Lång batteritid registrerar cykeldatorn cykeldata som vanligt.\n Obs! I läget Lång batteritid visar cykeldatorn inte längre meddelandeaviseringar, smarta länkpåminnelser osv. Radarvarningar for fordon ges endast som ljudaviseringar.",Strømsparing:\nSykkelcomputeren deaktiverer bakgrunnslys og reduserer oppdateringsfrekvensen.,"Lange batterijduur\nDe fietscomputer schakelt het scherm uit om de batterijduur te verlengen in de modus Lange batterijduur. 15 seconden na het activeren van de modus Lange batterijduur schakelt de fietscomputer het scherm uit. Wanneer het scherm uit is, kun je op een willekeurige knop drukken om het scherm 15 seconden te laten oplichten. In de modus Lange batterijduur registreert de fietscomputer fietsgegevens normaal.\n Opmerking: In de modus Lange batterijduur geeft de fietscomputer geen berichtmeldingen, slimme verbindingsherinneringen enz. meer. Radarwaarschuwingen voor voertuigen worden alleen als geluidsmeldingen gegeven."
