词条所在界面（注意是界面不是模块！！）,KW,,中文,英文,法语,德语,西班牙语,意大利语,葡萄牙语,韩语,日语,俄语,波兰语,繁体中文,丹麦语,捷克语,瑞典语,挪威语,荷兰语,泰语,芬兰语,土耳其语,,
导航设置首页,KW_SETTING_NAVIGATION_CARD,,导航卡片,Navigation Card,Carte de navigation,Navigationskarte,Tarjeta de navegación,Scheda navigazione,Cartão de navegação,내비게이션 카드,ナビゲーションカード,Карточка навигации,Karta nawigacji,導航卡片,Navigationskort,Navigační karta,Navigeringskort,Navigasjonskort,Navigatiekaart,การ์ดการนำทาง,Navigointikortti,Navigasyon kartı,,
导航设置首页,KW_SETTING_NAVIGATION_PLANNING,,导航规划,Navigation Planning,Planification de navigation,Navigationsplanung,Planificación de navegación,Pianificazione navigazione,Planejamento de navegação,내비게이션 계획,ナビゲーション計画,Планирование навигации,Planowanie nawigacji,導航規劃,Navigationsplanlægning,Plánování navigace,Navigeringsplanering,Navigasjonsplanlegging,Navigatieplanning,การวางแผนการนำทาง,Navigoinnin suunnittelu,Navigasyon planlama,,
导航设置首页,KW_SETTING_OFF_ROUTE_REROUTING,,偏航规划,Off-route Re-routing,Recalcul hors itinéraire,Neuberechnung bei Routenabweichung,Recalcular fuera de ruta,Ricalcolo fuori percorso,Replanejamento fora da rota,경로 이탈 재탐색,ルート外再探索,Перестроение при отклонении от маршрута,Przeliczanie poza trasą,偏航重規劃,Omdirigering uden for rute,Přepočet při odchýlení od trasy,Omplanering vid avvikelse från rutt,Omberegning utenfor ruten,Herrouteren bij afwijking van route,การวางแผนใหม่เมื่อออกนอกเส้นทาง,Uudelleenreititys reitiltä poikettaessa,Rota dışı yeniden yönlendirme,,
地图元素设置页,KW_SETTING_MAP_WATER,,水,Water,Eau,Wasser,Agua,Acqua,Água,물,水,Вода,Woda,水域,Vand,Voda,Vatten,Vann,Water,น้ำ,Vesi,Su,,
地图元素设置页,KW_SETTING_MAP_GREEN_SPACE,,绿地,Green Space,Espace vert,Grünfläche,Zona verde,Area verde,Espaço verde,녹지,緑地,Зелёная зона,Teren zielony,綠地,Grønt område,Zelená plocha,Grönområde,Grøntområde,Groen gebied,พื้นที่สีเขียว,Viheralue,Yeşil alan,,
地图元素设置页,KW_SETTING_MAP_POI,,POI 点,POI Points,Points d’intérêt,POI-Punkte,Puntos de interés,Punti di interesse,Pontos de interesse,POI 지점,POIポイント,Точки POI,Punkty POI,POI 點,POI-punkter,Body POI,POI-punkter,POI-punkter,POI-punten,จุด POI,POI-pisteet,POI noktaları,,
地图元素设置页,KW_SETTING_MAP_AUTO_ZOOM,,地图自动缩放,Auto Map Zoom,Zoom automatique de la carte,Automatischer Kartenzoom,Zoom automático del mapa,Zoom automatico mappa,Zoom automático do mapa,지도 자동 확대/축소,地図自動ズーム,Автомасштабирование карты,Automatyczne powiększanie mapy,地圖自動縮放,Automatisk kortzoom,Automatické přiblížení mapy,Automatisk kartzoom,Automatisk kartzoom,Automatische kaartzoom,ซูมแผนที่อัตโนมัติ,Automaattinen kartan zoomaus,Otomatik harita yakınlaştırma,,
地图元素设置页,KW_SETTING_MAP_ROAD_NAMES,,路名,Road Names,Noms des routes,Straßennamen,Nombres de carreteras,Nomi strade,Nomes de vias,도로명,道路名,Названия дорог,Nazwy dróg,道路名稱,Vejnavne,Názvy silnic,Vägnamn,Veinavn,Wegnamen,ชื่อถนน,Tien nimet,Yol adları,,
地图元素设置页,KW_SETTING_MAP_ELEMENT_DESCRIPTION,,说明：\n码表提供了多类兴趣点，包含厕所、商店、饮水点、咖啡店、自行车店、医院、车站等。这些兴趣点在地图上均有相应标识。\n地图自动缩放关闭后，在逼近转向路口时，地图将不会自动放大。\n路名关闭后，地图上将不会显示道路的名称。,"Description: The bike computer offers a variety of points of interest, including restrooms, shops, water refill points, cafés, bike shops, hospitals, and stations. These points of interest are marked accordingly on the map. When Auto Map Zoom is turned off, the map will not automatically zoom in when approaching a turn junction. When Road Names are turned off, road names will not be displayed on the map.","Description : Le compteur vélo propose différents points d’intérêt, notamment des toilettes, des magasins, des points de ravitaillement en eau, des cafés, des magasins de vélos, des hôpitaux et des gares. Ces points d’intérêt sont indiqués en conséquence sur la carte. Lorsque le zoom automatique de la carte est désactivé, la carte ne zoome pas automatiquement à l’approche d’une intersection avec changement de direction. Lorsque les noms de routes sont désactivés, ils ne s’affichent pas sur la carte.","Beschreibung: Der Fahrradcomputer bietet verschiedene Points of Interest, darunter Toiletten, Geschäfte, Wasserauffüllpunkte, Cafés, Fahrradgeschäfte, Krankenhäuser und Bahnhöfe. Diese Points of Interest werden entsprechend auf der Karte markiert. Wenn der automatische Kartenzoom deaktiviert ist, zoomt die Karte beim Annähern an eine Abzweigung nicht automatisch heran. Wenn Straßennamen deaktiviert sind, werden Straßennamen nicht auf der Karte angezeigt.","Descripción: El ciclocomputador ofrece varios puntos de interés, incluidos baños, tiendas, puntos de recarga de agua, cafeterías, tiendas de bicicletas, hospitales y estaciones. Estos puntos de interés se muestran en el mapa con sus iconos correspondientes. Cuando el zoom automático del mapa está desactivado, el mapa no se acercará automáticamente al aproximarse a una intersección de giro. Cuando los nombres de las carreteras están desactivados, no se mostrarán en el mapa.","Descrizione: Il ciclocomputer offre diversi punti di interesse, tra cui servizi igienici, negozi, punti di rifornimento acqua, caffè, negozi di biciclette, ospedali e stazioni. Questi punti di interesse sono contrassegnati di conseguenza sulla mappa. Quando lo zoom automatico della mappa è disattivato, la mappa non ingrandirà automaticamente avvicinandosi a un incrocio di svolta. Quando i nomi delle strade sono disattivati, non verranno visualizzati sulla mappa.","Descrição: O ciclocomputador oferece vários pontos de interesse, incluindo banheiros, lojas, pontos de reabastecimento de água, cafés, lojas de bicicletas, hospitais e estações. Esses pontos de interesse são marcados no mapa de acordo. Quando o zoom automático do mapa estiver desativado, o mapa não aumentará o zoom automaticamente ao se aproximar de uma interseção de conversão. Quando os nomes das vias estiverem desativados, eles não serão exibidos no mapa.","설명: 자전거 컴퓨터는 화장실, 상점, 급수 지점, 카페, 자전거 매장, 병원, 정류장 등 다양한 POI를 제공합니다. 이러한 POI는 지도에 해당 아이콘으로 표시됩니다. 지도 자동 확대/축소가 꺼져 있으면 회전 교차로에 접근할 때 지도가 자동으로 확대되지 않습니다. 도로명이 꺼져 있으면 지도에 도로명이 표시되지 않습니다.",説明: サイクルコンピューターには、トイレ、ショップ、給水ポイント、カフェ、バイクショップ、病院、駅など、さまざまなポイント情報（POI）が用意されています。これらのPOIは地図上に対応するマークで表示されます。地図自動ズームをオフにすると、曲がる交差点に近づいても地図は自動的に拡大されません。道路名をオフにすると、地図上に道路名は表示されません。,"Описание: Велокомпьютер предоставляет различные точки интереса, включая туалеты, магазины, пункты пополнения воды, кафе, веломагазины, больницы и станции. Эти точки интереса соответствующим образом отмечаются на карте. Если автомасштабирование карты отключено, карта не будет автоматически увеличиваться при приближении к поворотному перекрёстку. Если названия дорог отключены, они не будут отображаться на карте.","Opis: Licznik rowerowy oferuje różne punkty zainteresowania, w tym toalety, sklepy, punkty uzupełniania wody, kawiarnie, sklepy rowerowe, szpitale i stacje. Te punkty zainteresowania są odpowiednio oznaczone na mapie. Gdy automatyczne powiększanie mapy jest wyłączone, mapa nie powiększy się automatycznie podczas zbliżania się do skrzyżowania z manewrem. Gdy nazwy dróg są wyłączone, nie będą wyświetlane na mapie.",說明：碼錶提供多種興趣點，包括洗手間、商店、補水點、咖啡店、自行車店、醫院和車站等。這些興趣點會在地圖上以相應方式標示。當關閉地圖自動縮放時，接近轉彎路口時地圖不會自動放大。當關閉道路名稱時，地圖上將不顯示道路名稱。,"Beskrivelse: Cykelcomputeren tilbyder en række interessepunkter, herunder toiletter, butikker, vandpåfyldningspunkter, caféer, cykelbutikker, hospitaler og stationer. Disse interessepunkter markeres tilsvarende på kortet. Når automatisk kortzoom er slået fra, zoomer kortet ikke automatisk ind, når du nærmer dig et drejekryds. Når vejnavne er slået fra, vises vejnavne ikke på kortet.","Popis: Cyklopočítač nabízí různé body zájmu, včetně toalet, obchodů, míst pro doplnění vody, kaváren, cykloobchodů, nemocnic a stanic. Tyto body zájmu jsou na mapě odpovídajícím způsobem označeny. Když je automatické přiblížení mapy vypnuté, mapa se při přiblížení ke křižovatce s odbočením automaticky nepřiblíží. Když jsou názvy silnic vypnuté, nebudou se na mapě zobrazovat.","Beskrivning: Cykeldatorn erbjuder flera olika intressepunkter, inklusive toaletter, butiker, vattenpåfyllningspunkter, kaféer, cykelbutiker, sjukhus och stationer. Dessa intressepunkter markeras på kartan. När automatisk kartzoom är avstängd zoomar kartan inte automatiskt in när du närmar dig en svängkorsning. När vägnamn är avstängda visas inte vägnamn på kartan.","Beskrivelse: Sykkelcomputeren tilbyr en rekke interessepunkter, inkludert toaletter, butikker, vannpåfyllingspunkter, kafeer, sykkelbutikker, sykehus og stasjoner. Disse interessepunktene markeres tilsvarende på kartet. Når automatisk kartzoom er slått av, zoomer ikke kartet automatisk inn når du nærmer deg et veikryss med sving. Når veinavn er slått av, vises ikke veinavn på kartet.","Beschrijving: De fietscomputer biedt verschillende nuttige plaatsen, waaronder toiletten, winkels, watertappunten, cafés, fietsenwinkels, ziekenhuizen en stations. Deze nuttige plaatsen worden overeenkomstig op de kaart gemarkeerd. Wanneer automatische kaartzoom is uitgeschakeld, zoomt de kaart niet automatisch in wanneer u een afslagkruising nadert. Wanneer wegnamen zijn uitgeschakeld, worden wegnamen niet op de kaart weergegeven.",คำอธิบาย: ไมล์จักรยานมีจุดที่น่าสนใจหลากหลายประเภท เช่น ห้องน้ำ ร้านค้า จุดเติมน้ำ คาเฟ่ ร้านจักรยาน โรงพยาบาล และสถานี จุดที่น่าสนใจเหล่านี้จะแสดงบนแผนที่ตามประเภท เมื่อปิดซูมแผนที่อัตโนมัติ แผนที่จะไม่ซูมเข้าโดยอัตโนมัติเมื่อเข้าใกล้ทางแยกเลี้ยว เมื่อปิดชื่อถนน ชื่อถนนจะไม่แสดงบนแผนที่,"Kuvaus: Pyörätietokone tarjoaa erilaisia kiinnostavia kohteita, kuten WC:t, kaupat, veden täyttöpisteet, kahvilat, pyöräliikkeet, sairaalat ja asemat. Nämä kiinnostavat kohteet merkitään kartalle vastaavasti. Kun automaattinen kartan zoomaus on pois päältä, kartta ei lähennä automaattisesti lähestyttäessä käännösristeystä. Kun tien nimet ovat pois päältä, tien nimiä ei näytetä kartalla.","Açıklama: Bisiklet bilgisayarı; tuvaletler, mağazalar, su doldurma noktaları, kafeler, bisiklet mağazaları, hastaneler ve istasyonlar dahil olmak üzere çeşitli ilgi noktaları sunar. Bu ilgi noktaları haritada ilgili şekilde işaretlenir. Otomatik harita yakınlaştırma kapalı olduğunda, dönüş kavşağına yaklaşırken harita otomatik olarak yakınlaştırılmaz. Yol adları kapalı olduğunda, yol adları haritada gösterilmez.",,
地图元素设置页,KW_GLOBAL_BACK,,返回,Back,Retour,Zurück,Atrás,Indietro,Voltar,뒤로,戻る,Назад,Wstecz,返回,Tilbage,Zpět,Tillbaka,Tilbake,Terug,กลับ,Takaisin,Geri,,
导航视角选择页,KW_SETTING_NAVI_HEADING_UP,,车头朝上,Heading Up,Cap en haut,Fahrtrichtung oben,Rumbo arriba,Direzione in alto,Direção para cima,진행 방향 위,進行方向上,По направлению движения,Kierunek jazdy u góry,車頭朝上,Retning op,Směr nahoře,Färdriktning upp,Kjøreretning opp,Rijrichting boven,หันทิศทางขึ้น,Kulkusuunta ylös,Yön yukarı,,
导航视角选择页,KW_SETTING_NAVI_NORTH_UP,,北朝上,North Up,Nord en haut,Norden oben,Norte arriba,Nord in alto,Norte para cima,북쪽 위,北上,Север сверху,Północ u góry,北向上,Nord op,Sever nahoře,Norr upp,Nord opp,Noorden boven,ทิศเหนือขึ้น,Pohjoinen ylös,Kuzey yukarı,,
导航视角确认弹窗,KW_RIDE_CANCEL,,取消,Cancel,Annuler,Abbrechen,Cancelar,Annulla,Cancelar,취소,キャンセル,Отмена,Anuluj,取消,Annuller,Zrušit,Avbryt,Avbryt,Annuleren,ยกเลิก,Peruuta,İptal,,
导航视角确认弹窗,KW_GLOBAL_OK,,确定,OK,OK,OK,OK,OK,OK,확인,OK,OK,OK,確定,OK,OK,OK,OK,OK,ตกลง,OK,Tamam,,
导航卡片选择页,KW_SETTING_NAVI_CLASSIC_MODE,,经典模式,Classic Mode,Mode classique,Klassischer Modus,Modo clásico,Modalità classica,Modo clássico,클래식 모드,クラシックモード,Классический режим,Tryb klasyczny,經典模式,Klassisk tilstand,Klasický režim,Klassiskt läge,Klassisk modus,Klassieke modus,โหมดคลาสสิก,Klassinen tila,Klasik mod,,
导航卡片选择页,KW_SETTING_NAVI_SIMPLE_MODE,,简约模式,Simplified Mode,Mode simplifié,Vereinfachter Modus,Modo simplificado,Modalità semplificata,Modo simplificado,간편 모드,シンプルモード,Упрощённый режим,Tryb uproszczony,簡潔模式,Forenklet tilstand,Zjednodušený režim,Förenklat läge,Forenklet modus,Vereenvoudigde modus,โหมดเรียบง่าย,Yksinkertaistettu tila,Basitleştirilmiş mod,,
导航卡片确认弹窗,KW_RIDE_CANCEL,,取消,Cancel,Annuler,Abbrechen,Cancelar,Annulla,Cancelar,취소,キャンセル,Отмена,Anuluj,取消,Annuller,Zrušit,Avbryt,Avbryt,Annuleren,ยกเลิก,Peruuta,İptal,,
导航卡片确认弹窗,KW_GLOBAL_OK,,确定,OK,OK,OK,OK,OK,OK,확인,OK,OK,OK,確定,OK,OK,OK,OK,OK,ตกลง,OK,Tamam,,
导航规划设置页,KW_SETTING_NAVI_ONLINE_PLANNING,,在线规划,Online Planning,Planification en ligne,Online-Planung,Planificación online,Pianificazione online,Planejamento online,온라인 계획,オンライン計画,Онлайн-планирование,Planowanie online,線上規劃,Onlineplanlægning,Online plánování,Onlineplanering,Online planlegging,Online planning,การวางแผนออนไลน์,Online-suunnittelu,Çevrim içi planlama,,
导航规划设置页,KW_SETTING_NAVI_OFFLINE_PLANNING,,离线规划,Offline Planning,Planification hors ligne,Offline-Planung,Planificación offline,Pianificazione offline,Planejamento offline,오프라인 계획,オフライン計画,Офлайн-планирование,Planowanie offline,離線規劃,Offlineplanlægning,Offline plánování,Offlineplanering,Frakoblet planlegging,Offline planning,การวางแผนออฟไลน์,Offline-suunnittelu,Çevrim dışı planlama,,
导航规划权限提示弹窗,KW_SETTING_NAVI_PLAN_AT_LEAST_ONE_NOTICE,,至少需保留一种规划方式,At least one planning method must remain enabled.,Au moins une méthode de planification doit rester activée.,Mindestens eine Planungsmethode muss aktiviert bleiben.,Debe permanecer activado al menos un método de planificación.,Almeno un metodo di pianificazione deve rimanere attivo.,Pelo menos um método de planejamento deve permanecer ativado.,하나 이상의 계획 방법은 활성화되어 있어야 합니다.,少なくとも1つの計画方法を有効にしておく必要があります。,Должен быть включён как минимум один способ планирования.,Co najmniej jedna metoda planowania musi pozostać włączona.,至少需保留一種規劃方式為開啟狀態。,Mindst én planlægningsmetode skal være aktiveret.,Alespoň jedna metoda plánování musí zůstat povolena.,Minst en planeringsmetod måste vara aktiverad.,Minst én planleggingsmetode må være aktivert.,Er moet minstens één planningsmethode ingeschakeld blijven.,ต้องเปิดใช้งานวิธีการวางแผนไว้อย่างน้อยหนึ่งวิธี,Vähintään yhden suunnittelutavan on oltava käytössä.,En az bir planlama yöntemi etkin kalmalıdır.,,
